postal_code,Number of Children in Each Neighbor,Children Score,Number of Single Parents,Single Parents Score,Value of After-tax Income,After-tax Income Score,Number of Bachlors Degreess,Education Score,Number of Non-movers,Non-movers Score,Total Score
M5V,5705,-0.704442098,1340,-0.128860572,54000,1.550772336,39245,1.675979498,37820,1.308229512,1.898647275
M2N,17785,1.606338601,3355,1.4941064,36400,-0.080427199,39350,1.712046306,59225,1.714909043,1.776890336
M6S,10095,0.559266097,1500,0.051469091,49200,1.224532429,15230,1.315311415,30465,0.494870451,1.716011866
M6P,9180,0.450948252,1660,0.267864688,42800,0.789545886,18145,1.531712265,33125,0.938520848,1.655133396
M8V,8915,0.342630406,2120,0.880985544,40800,0.535803736,17070,1.459578648,36260,1.086404314,1.533376457
M5A,8745,0.306524458,2395,1.09738114,39200,0.318310465,21690,1.603845881,36815,1.160346047,1.472497987
M2J,17845,1.642444549,3295,1.458040468,33200,-0.515413742,24985,1.63991269,51585,1.64096731,1.472497987
M4C,13715,1.245279117,2460,1.133447073,36400,-0.080427199,15735,1.387445032,40330,1.419142111,1.411619517
M5M,9265,0.4870542,855,-0.705915496,52400,1.405776821,12470,0.846442907,23500,0.051220054,1.411619517
M9A,10185,0.667583942,1825,0.484260284,41200,0.572052615,14425,1.243177798,31220,0.642753917,1.411619517
M4S,6360,-0.379488562,1055,-0.525585832,47600,1.115785793,16940,1.42351184,23100,0.014249188,1.350741048
M4L,9330,0.523160148,1515,0.087535024,45200,1.007039157,12225,0.738242482,27945,0.420928719,1.228984108
M6H,10100,0.595372045,1980,0.628524015,36400,-0.080427199,15515,1.351378223,36890,1.197316913,1.168105638
M3H,12305,1.100855323,1995,0.70065588,36800,-0.044178321,13965,1.134977374,32995,0.864579115,1.107227169
M9B,10625,0.739795839,1555,0.15966689,42000,0.68079925,12120,0.702175674,30040,0.457899585,1.107227169
M9C,11760,0.956431529,2185,0.917051477,39200,0.318310465,11905,0.666108866,34455,1.012462581,1.046348699
M6K,6745,-0.307276665,1710,0.376062486,38800,0.100817193,17215,1.495645456,31465,0.71669565,0.985470229
M4J,10620,0.70368989,1795,0.448194351,39200,0.318310465,12370,0.810376099,31695,0.753666516,0.985470229
M4E,7635,0.017676871,1080,-0.453453967,48800,1.18828355,11150,0.557908441,22775,-0.096663411,0.985470229
M1C,12380,1.136961271,1595,0.195732822,39600,0.354559343,11150,0.557908441,32690,0.790637383,0.985470229
M5R,3865,-1.10160753,735,-0.922311092,46400,1.079536914,14920,1.279244607,20080,-0.392430342,0.985470229
M6J,5910,-0.560018304,1295,-0.200992438,41600,0.644550372,14095,1.171044182,25350,0.236074387,0.924591759
M1B,24745,1.714656446,4590,1.710501997,31600,-1.095395799,14160,1.20711099,59145,1.677938176,0.924591759
M4K,8080,0.162100664,1430,-0.056728707,40400,0.4270571,12900,0.882509715,27360,0.346986986,0.86371329
M6G,7135,-0.126746923,1315,-0.164926505,39200,0.318310465,13140,0.99071014,25170,0.162132654,0.74195635
M4Y,2845,-1.318243221,780,-0.814113294,39200,0.318310465,20815,1.567779073,24135,0.125161787,0.74195635
M1E,16850,1.570232652,3520,1.566238266,32800,-0.587911499,11120,0.485774824,42740,1.493083844,0.74195635
M3C,12510,1.17306722,2340,0.989183342,32800,-0.587911499,12370,0.810376099,34455,1.012462581,0.68107788
M4G,6180,-0.451700459,705,-0.958377025,54000,1.550772336,9715,0.125106741,17440,-0.688197274,0.68107788
M4V,3635,-1.173819427,635,-1.102640756,52800,1.4420257,10760,0.449708016,15910,-0.946993338,0.559320941
M4P,4505,-0.993289685,1030,-0.63378363,42400,0.717048129,13115,0.918576524,18420,-0.577284674,0.559320941
M5J,1775,-1.57098486,365,-1.463300083,54000,1.550772336,11410,0.593975249,11065,-1.279731136,0.559320941
M2R,12060,1.028643426,2535,1.205578939,31400,-1.204142434,13725,1.098910565,35515,1.049433447,0.498442471
M5P,4715,-0.88497184,695,-0.994442957,48800,1.18828355,10595,0.341507591,17140,-0.72516814,0.498442471
M1W,14840,1.425808859,2910,1.313776737,29600,-1.494133463,13180,1.026776949,42150,1.456112978,0.437564001
M4M,5915,-0.523912356,1190,-0.345256168,43600,0.825794764,10395,0.269373974,20615,-0.31848861,0.437564001
M3A,11750,0.920325581,2525,1.169513006,34400,-0.334169349,10585,0.305440783,30820,0.568812184,0.437564001
M2K,5745,-0.668336149,1125,-0.417388034,38400,0.064568315,13120,0.954643332,19930,-0.429401209,0.315807062
M1P,14360,1.353596962,2690,1.241644871,31200,-1.240391313,11585,0.630042057,39075,1.382171245,0.315807062
M6C,6840,-0.235064768,1070,-0.489519899,40800,0.535803736,10060,0.197240358,21450,-0.170605144,0.315807062
M4N,4765,-0.848865891,485,-1.319036352,54400,1.587021214,8035,-0.307694958,13200,-1.094876804,0.254928592
M1K,16450,1.498020756,3510,1.530172333,31000,-1.31288907,10665,0.377574399,43200,1.530054711,0.194050122
M4W,2950,-1.246031324,450,-1.355102285,52000,1.369527943,9360,-0.091294108,12025,-1.168818537,0.133171653
M6R,4960,-0.812759943,665,-1.03050889,46400,1.079536914,9135,-0.127360917,16365,-0.873051606,0.133171653
M6E,11020,0.812007736,2390,1.061315208,34000,-0.370418228,8710,-0.163427725,32910,0.827608249,0.133171653
M2M,8375,0.234312561,1610,0.231798755,31600,-1.095395799,13715,1.062843757,26690,0.273045253,0.133171653
M9W,13995,1.317491013,2915,1.349842669,32400,-0.660409256,8315,-0.27162815,37165,1.234287779,0.072293183
M8Y,5870,-0.596124252,1000,-0.669849563,42800,0.789545886,8435,-0.235561342,19250,-0.540313808,0.011414713
M1L,12145,1.064749375,2035,0.772787746,32000,-0.769155892,9660,0.052973125,31350,0.679724783,0.011414713
M1V,16525,1.534126704,3015,1.421974535,27400,-1.711626734,10700,0.413641208,45655,1.567025577,0.011414713
M5E,1145,-1.643196756,230,-1.643629746,56800,1.69576785,8005,-0.343761767,7975,-1.538527201,0.011414713
M9V,20320,1.678550498,3925,1.638370131,29400,-1.56663122,9715,0.125106741,48560,1.603996443,-0.049463757
M9R,11970,0.992537478,2390,1.061315208,33600,-0.442915985,7610,-0.415895383,30900,0.605783051,-0.049463757
M6B,9135,0.414842303,1525,0.123600957,35200,-0.225422713,8685,-0.199494533,25280,0.19910352,-0.110342226
M6N,12750,1.209173168,2905,1.277710804,32000,-0.769155892,7190,-0.524095808,36510,1.12337518,-0.171220696
M5N,5350,-0.776653995,595,-1.174772621,44400,0.898292522,7380,-0.451962191,14285,-0.983964205,-0.171220696
M8Z,5385,-0.740548046,820,-0.741981428,45200,1.007039157,6870,-0.668363041,16305,-0.910022472,-0.232099166
M8X,2880,-1.282137272,355,-1.499366015,56800,1.69576785,5475,-1.101164741,9360,-1.464585468,-0.353856105
M1S,11025,0.848113684,2075,0.808853679,29400,-1.56663122,10320,0.233307166,33030,0.901549982,-0.353856105
M1J,13905,1.281385065,2935,1.385908602,31200,-1.240391313,7690,-0.379828575,33880,0.975491715,-0.353856105
M8W,6310,-0.41559451,1210,-0.309190236,40800,0.535803736,6660,-0.812630274,19805,-0.466372075,-0.353856105
M4T,2370,-1.426561066,315,-1.607563814,56400,1.623270093,5880,-1.029031124,8905,-1.501556334,-0.414734575
M1N,6680,-0.343382614,1220,-0.273124303,39200,0.318310465,6805,-0.70442985,20090,-0.355459476,-0.414734575
M4R,3365,-1.209925375,410,-1.42723415,49600,1.260781307,6335,-0.884763891,10215,-1.390643735,-0.414734575
M1T,10835,0.775901787,2230,0.953117409,29800,-1.421635706,9635,0.016906316,30605,0.531841318,-0.475613045
M6M,14670,1.38970291,3840,1.602304198,31800,-0.986649163,5825,-1.065097932,38100,1.345200379,-0.475613045
M1R,10170,0.631477994,1890,0.55639215,32000,-0.769155892,7100,-0.596229425,27500,0.383957852,-0.536491515
M2H,6950,-0.19895882,1385,-0.092794639,32000,-0.769155892,9520,-0.019160492,20890,-0.20757601,-0.536491515
M3B,4095,-1.065501582,520,-1.282970419,44800,0.9345414,6135,-0.992964316,11485,-1.205789403,-0.597369984
M5S,1985,-1.498772963,445,-1.391168217,38400,0.064568315,9500,-0.0552273,10640,-1.316702002,-0.719126924
M1M,7710,0.089888767,1285,-0.23705837,34000,-0.370418228,6700,-0.776563466,20765,-0.244546877,-0.719126924
M5B,1845,-1.534878911,540,-1.210838554,35200,-0.225422713,9925,0.16117355,11185,-1.24276027,-0.719126924
M6A,7430,-0.054535026,1710,0.376062486,33600,-0.442915985,6430,-0.848697083,19415,-0.503342942,-0.840883863
M9P,6760,-0.271170717,1460,0.015403159,37600,-0.007929442,5210,-1.173298357,18400,-0.614255541,-0.840883863
M2L,3855,-1.137713479,615,-1.138706688,41600,0.644550372,5250,-1.137231549,10050,-1.427614602,-0.901762333
M9N,8515,0.270418509,2120,0.880985544,33200,-0.515413742,4015,-1.317565591,23870,0.088190921,-0.901762333
M1H,7600,-0.018429078,1440,-0.020662774,31800,-0.986649163,6895,-0.632296233,20625,-0.281517743,-1.023519273
M5H,280,-1.715408653,45,-1.715761612,52000,1.369527943,2270,-1.606100057,1775,-1.723381533,-1.023519273
M2P,2370,-1.426561066,335,-1.535431948,44400,0.898292522,3810,-1.425766015,6670,-1.575498067,-1.084397742
M1G,11120,0.884219633,1955,0.592458082,29200,-1.639128977,6770,-0.740496658,27215,0.310016119,-1.084397742
M9M,8985,0.378736355,1990,0.664589948,32000,-0.769155892,4210,-1.281498782,22125,-0.133634278,-1.084397742
M3M,8345,0.198206613,2035,0.772787746,32400,-0.660409256,3975,-1.353632399,22865,-0.059692545,-1.084397742
M3N,16410,1.461914807,4520,1.674436064,28400,-1.675377856,3855,-1.389699207,37410,1.271258646,-1.084397742
M5C,355,-1.679302705,95,-1.679695679,51600,1.297030186,1770,-1.714300482,2310,-1.686410666,-1.084397742
M5G,1315,-1.607090808,325,-1.571497881,40000,0.390808222,6220,-0.956897508,5950,-1.6494398,-1.145276212
M4B,5795,-0.632230201,1185,-0.381322101,35200,-0.225422713,4395,-1.209365166,16455,-0.836080739,-1.206154682
M3J,7940,0.125994716,1890,0.55639215,30600,-1.349137949,6315,-0.920830699,22935,-0.022721678,-1.267033152
M4X,4585,-0.921077788,1035,-0.597717697,31600,-1.095395799,7175,-0.560162616,16960,-0.762139006,-1.388790091
M6L,7100,-0.162852871,1705,0.303930621,31800,-0.986649163,3120,-1.53396644,18400,-0.614255541,-1.63230397
M5T,2780,-1.354349169,800,-0.778047361,29800,-1.421635706,7275,-0.488029,13730,-1.057905938,-1.69318244
M1X,5985,-0.487806407,650,-1.066574823,32000,-0.769155892,3145,-1.497899632,13930,-1.020935071,-1.69318244
M4A,4535,-0.957183737,1040,-0.561651765,32400,-0.660409256,3545,-1.461832824,12875,-1.13184767,-1.75406091
M3K,2490,-1.390455118,540,-1.210838554,35600,-0.189173835,1965,-1.642166865,6595,-1.612468934,-1.814939379
M3L,7175,-0.090640975,1760,0.412128419,30600,-1.349137949,2380,-1.570033249,17730,-0.651226407,-1.814939379
M4H,7705,0.053782819,740,-0.886245159,27000,-1.747875613,4280,-1.245431974,16785,-0.799109873,-1.936696319
M9L,4235,-1.029395633,780,-0.814113294,29600,-1.494133463,1960,-1.678233673,10520,-1.353672869,-2.423724077
